"タイトル","説明","品物番号","定価",
"天井埋込型　LED（温白色）　ダウンライト　浅型9H・高気密SB形・拡散タイプ　LEDフラットランプ交換型・調光タイプ（ライコン別売）／埋込穴φ100　白熱電球150形1灯器具相当","LEDフラットランプφ70　クラス1000 1灯（口金GX53-1）　<br>色温度：3500 K　<br>光源寿命40000時間（光束維持率70％）<br>埋込穴径：φ100 mm　<br>埋込高：90 mm<br>器具光束：1080 lm　<br>電圧：100 V　<br>消費電力：9.3 W　<br>消費効率：116.1 lm/W<br>【鋼板枠】ホワイトつや消し<br>天井埋込型、埋込穴φ100、浅型9H・高気密SB形・拡散タイプ<br>Ra83<br>【適合ライトコントロール】リビングライコンNQ28771W （別売）<br>【適合ライトコントロール】リビングライコンNQ28771H （別売）<br>【適合ライトコントロール】LED埋込逆位相調光スイッチB（ロータリー式）WT57572W（別売）<br>【適合ライトコントロール】LED埋込逆位相調光スイッチC（ロータリー式）WTC57582W（別売）<br>【適合ライトコントロール】LED埋込逆位相調光スイッチC（ロータリー式）（3.2A）WTC57583W（別売）<br>【適合リニューアルプレート】LGK02000<br>【適合リニューアルプレート】LGK02001<br>【適合リニューアルプレート】LGK02004<br>【適合リニューアルプレート】LGK02005<br>150形電球1灯器具相当<br>55度までの傾斜天井に取付可能<br>位相制御式（2線式）<br>入力電流（100V時）：0.1 A<br>ランプは口金GX53-1、外径70mmまで取付可能<br>適合ライコン（逆位相タイプ）（別売）との組み合わせで100％～1％調光可能<br>配光については斜天井対応となっていません。<br>施工時、埋込高さは90mm必要となります。<br>直下近接限度10cm<br>","XAD5100V CC1","21800",
"天井埋込型　LED（昼白色）　ダウンライト　浅型9H・高気密SB形・拡散タイプ　LEDフラットランプ交換型・調光タイプ（ライコン別売）／埋込穴φ100　白熱電球150形1灯器具相当","LEDフラットランプφ70　クラス1000 1灯（口金GX53-1）　<br>色温度：5000 K　<br>光源寿命40000時間（光束維持率70％）<br>埋込穴径：φ100 mm　<br>埋込高：90 mm<br>器具光束：1080 lm　<br>電圧：100 V　<br>消費電力：9.3 W　<br>消費効率：116.1 lm/W<br>【鋼板枠】ホワイトつや消し<br>天井埋込型、埋込穴φ100、浅型9H・高気密SB形・拡散タイプ<br>Ra83<br>【適合ライトコントロール】リビングライコンNQ28771W （別売）<br>【適合ライトコントロール】リビングライコンNQ28771H （別売）<br>【適合ライトコントロール】LED埋込逆位相調光スイッチB（ロータリー式）WT57572W（別売）<br>【適合ライトコントロール】LED埋込逆位相調光スイッチC（ロータリー式）WTC57582W（別売）<br>【適合ライトコントロール】LED埋込逆位相調光スイッチC（ロータリー式）（3.2A）WTC57583W（別売）<br>【適合リニューアルプレート】LGK02000<br>【適合リニューアルプレート】LGK02001<br>【適合リニューアルプレート】LGK02004<br>【適合リニューアルプレート】LGK02005<br>150形電球1灯器具相当<br>55度までの傾斜天井に取付可能<br>位相制御式（2線式）<br>入力電流（100V時）：0.1 A<br>ランプは口金GX53-1、外径70mmまで取付可能<br>適合ライコン（逆位相タイプ）（別売）との組み合わせで100％～1％調光可能<br>配光については斜天井対応となっていません。<br>施工時、埋込高さは90mm必要となります。<br>直下近接限度10cm<br>","XAD5100N CC1","21800",
"天井埋込型　LED（温白色）　ダウンライト　浅型9H・高気密SB形・ビーム角24度・集光タイプ　LEDフラットランプ交換型・調光タイプ（ライコン別売）／埋込穴φ100　白熱電球150形1灯器具相当","LEDフラットランプφ70　クラス1000 1灯（口金GX53-1）　<br>色温度：3500 K　<br>光源寿命40000時間（光束維持率70％）<br>埋込穴径：φ100 mm　<br>埋込高：90 mm<br>器具光束：1050 lm　<br>電圧：100 V　<br>消費電力：9.3 W　<br>消費効率：112.9 lm/W<br>【鋼板枠】ホワイトつや消し<br>天井埋込型、埋込穴φ100、浅型9H・高気密SB形・ビーム角24度・集光タイプ<br>Ra83<br>【適合ライトコントロール】リビングライコンNQ28771W （別売）<br>【適合ライトコントロール】リビングライコンNQ28771H （別売）<br>【適合ライトコントロール】LED埋込逆位相調光スイッチB（ロータリー式）WT57572W（別売）<br>【適合ライトコントロール】LED埋込逆位相調光スイッチC（ロータリー式）WTC57582W（別売）<br>【適合ライトコントロール】LED埋込逆位相調光スイッチC（ロータリー式）（3.2A）WTC57583W（別売）<br>【適合リニューアルプレート】LGK02000<br>【適合リニューアルプレート】LGK02001<br>【適合リニューアルプレート】LGK02004<br>【適合リニューアルプレート】LGK02005<br>集光タイプ（ビーム角24度）<br>150形電球1灯器具相当<br>55度までの傾斜天井に取付可能<br>位相制御式（2線式）<br>入力電流（100V時）：0.1 A<br>ランプは口金GX53-1、外径70mmまで取付可能<br>適合ライコン（逆位相タイプ）（別売）との組み合わせで100％～1％調光可能<br>配光については斜天井対応となっていません。<br>施工時、埋込高さは90mm必要となります。<br>直下近接限度10cm<br>","XAD5120V CC1","23800",
"天井埋込型　LED（昼白色）　ダウンライト　浅型9H・高気密SB形・ビーム角24度・集光タイプ　LEDフラットランプ交換型・調光タイプ（ライコン別売）／埋込穴φ100　白熱電球150形1灯器具相当","LEDフラットランプφ70　クラス1000 1灯（口金GX53-1）　<br>色温度：5000 K　<br>光源寿命40000時間（光束維持率70％）<br>埋込穴径：φ100 mm　<br>埋込高：90 mm<br>器具光束：1050 lm　<br>電圧：100 V　<br>消費電力：9.3 W　<br>消費効率：112.9 lm/W<br>【鋼板枠】ホワイトつや消し<br>天井埋込型、埋込穴φ100、浅型9H・高気密SB形・ビーム角24度・集光タイプ<br>Ra83<br>【適合ライトコントロール】リビングライコンNQ28771W （別売）<br>【適合ライトコントロール】リビングライコンNQ28771H （別売）<br>【適合ライトコントロール】LED埋込逆位相調光スイッチB（ロータリー式）WT57572W（別売）<br>【適合ライトコントロール】LED埋込逆位相調光スイッチC（ロータリー式）WTC57582W（別売）<br>【適合ライトコントロール】LED埋込逆位相調光スイッチC（ロータリー式）（3.2A）WTC57583W（別売）<br>【適合リニューアルプレート】LGK02000<br>【適合リニューアルプレート】LGK02001<br>【適合リニューアルプレート】LGK02004<br>【適合リニューアルプレート】LGK02005<br>集光タイプ（ビーム角24度）<br>150形電球1灯器具相当<br>55度までの傾斜天井に取付可能<br>位相制御式（2線式）<br>入力電流（100V時）：0.1 A<br>ランプは口金GX53-1、外径70mmまで取付可能<br>適合ライコン（逆位相タイプ）（別売）との組み合わせで100％～1％調光可能<br>配光については斜天井対応となっていません。<br>施工時、埋込高さは90mm必要となります。<br>直下近接限度10cm<br>","XAD5120N CC1","23800",
"天井埋込型　LED（温白色）　ダウンライト　浅型9H・高気密SB形・ビーム角48度・集光タイプ　LEDフラットランプ交換型・調光タイプ（ライコン別売）／埋込穴φ100　白熱電球150形1灯器具相当","LEDフラットランプφ70　クラス1000 1灯（口金GX53-1）　<br>色温度：3500 K　<br>光源寿命40000時間（光束維持率70％）<br>埋込穴径：φ100 mm　<br>埋込高：90 mm<br>器具光束：1050 lm　<br>電圧：100 V　<br>消費電力：9.3 W　<br>消費効率：112.9 lm/W<br>【鋼板枠】ホワイトつや消し<br>天井埋込型、埋込穴φ100、浅型9H・高気密SB形・ビーム角48度・集光タイプ<br>Ra83<br>【適合ライトコントロール】リビングライコンNQ28771W （別売）<br>【適合ライトコントロール】リビングライコンNQ28771H （別売）<br>【適合ライトコントロール】LED埋込逆位相調光スイッチB（ロータリー式）WT57572W（別売）<br>【適合ライトコントロール】LED埋込逆位相調光スイッチC（ロータリー式）WTC57582W（別売）<br>【適合ライトコントロール】LED埋込逆位相調光スイッチC（ロータリー式）（3.2A）WTC57583W（別売）<br>【適合リニューアルプレート】LGK02000<br>【適合リニューアルプレート】LGK02001<br>【適合リニューアルプレート】LGK02004<br>【適合リニューアルプレート】LGK02005<br>集光タイプ（ビーム角48度）<br>150形電球1灯器具相当<br>55度までの傾斜天井に取付可能<br>位相制御式（2線式）<br>入力電流（100V時）：0.1 A<br>ランプは口金GX53-1、外径70mmまで取付可能<br>適合ライコン（逆位相タイプ）（別売）との組み合わせで100％～1％調光可能<br>配光については斜天井対応となっていません。<br>施工時、埋込高さは90mm必要となります。<br>直下近接限度10cm<br>","XAD5160V CC1","23800",
"天井埋込型　LED（昼白色）　ダウンライト　浅型9H・高気密SB形・ビーム角48度・集光タイプ　LEDフラットランプ交換型・調光タイプ（ライコン別売）／埋込穴φ100　白熱電球150形1灯器具相当","LEDフラットランプφ70　クラス1000 1灯（口金GX53-1）　<br>色温度：5000 K　<br>光源寿命40000時間（光束維持率70％）<br>埋込穴径：φ100 mm　<br>埋込高：90 mm<br>器具光束：1050 lm　<br>電圧：100 V　<br>消費電力：9.3 W　<br>消費効率：112.9 lm/W<br>【鋼板枠】ホワイトつや消し<br>天井埋込型、埋込穴φ100、浅型9H・高気密SB形・ビーム角48度・集光タイプ<br>Ra83<br>【適合ライトコントロール】リビングライコンNQ28771W （別売）<br>【適合ライトコントロール】リビングライコンNQ28771H （別売）<br>【適合ライトコントロール】LED埋込逆位相調光スイッチB（ロータリー式）WT57572W（別売）<br>【適合ライトコントロール】LED埋込逆位相調光スイッチC（ロータリー式）WTC57582W（別売）<br>【適合ライトコントロール】LED埋込逆位相調光スイッチC（ロータリー式）（3.2A）WTC57583W（別売）<br>【適合リニューアルプレート】LGK02000<br>【適合リニューアルプレート】LGK02001<br>【適合リニューアルプレート】LGK02004<br>【適合リニューアルプレート】LGK02005<br>集光タイプ（ビーム角48度）<br>150形電球1灯器具相当<br>55度までの傾斜天井に取付可能<br>位相制御式（2線式）<br>入力電流（100V時）：0.1 A<br>ランプは口金GX53-1、外径70mmまで取付可能<br>適合ライコン（逆位相タイプ）（別売）との組み合わせで100％～1％調光可能<br>配光については斜天井対応となっていません。<br>施工時、埋込高さは90mm必要となります。<br>直下近接限度10cm<br>","XAD5160N CC1","23800",
"天井埋込型　LED（電球色）　ダウンライト　浅型9H・高気密SB形・拡散タイプ　LEDフラットランプ交換型・調光タイプ（ライコン別売）／埋込穴φ100　白熱電球150形1灯器具相当","LEDフラットランプφ70　クラス1000 1灯（口金GX53-1）　<br>色温度：2700 K　<br>光源寿命40000時間（光束維持率70％）<br>埋込穴径：φ100 mm　<br>埋込高：90 mm<br>器具光束：1080 lm　<br>電圧：100 V　<br>消費電力：9.9 W　<br>消費効率：109 lm/W<br>【鋼板枠】ホワイトつや消し<br>天井埋込型、埋込穴φ100、浅型9H・高気密SB形・拡散タイプ<br>Ra83<br>【適合ライトコントロール】リビングライコンNQ28771W （別売）<br>【適合ライトコントロール】リビングライコンNQ28771H （別売）<br>【適合ライトコントロール】LED埋込逆位相調光スイッチB（ロータリー式）WT57572W（別売）<br>【適合ライトコントロール】LED埋込逆位相調光スイッチC（ロータリー式）WTC57582W（別売）<br>【適合ライトコントロール】LED埋込逆位相調光スイッチC（ロータリー式）（3.2A）WTC57583W（別売）<br>【適合リニューアルプレート】LGK02000<br>【適合リニューアルプレート】LGK02001<br>【適合リニューアルプレート】LGK02004<br>【適合リニューアルプレート】LGK02005<br>150形電球1灯器具相当<br>55度までの傾斜天井に取付可能<br>位相制御式（2線式）<br>入力電流（100V時）：0.11 A<br>ランプは口金GX53-1、外径70mmまで取付可能<br>適合ライコン（逆位相タイプ）（別売）との組み合わせで100％～1％調光可能<br>配光については斜天井対応となっていません。<br>施工時、埋込高さは90mm必要となります。<br>直下近接限度10cm<br>","XAD5100L CC1","21800",
"天井埋込型　LED（電球色）　ダウンライト　浅型9H・高気密SB形・ビーム角24度・集光タイプ　LEDフラットランプ交換型・調光タイプ（ライコン別売）／埋込穴φ100　白熱電球150形1灯器具相当","LEDフラットランプφ70　クラス1000 1灯（口金GX53-1）　<br>色温度：2700 K　<br>光源寿命40000時間（光束維持率70％）<br>埋込穴径：φ100 mm　<br>埋込高：90 mm<br>器具光束：1050 lm　<br>電圧：100 V　<br>消費電力：9.9 W　<br>消費効率：106 lm/W<br>【鋼板枠】ホワイトつや消し<br>天井埋込型、埋込穴φ100、浅型9H・高気密SB形・ビーム角24度・集光タイプ<br>Ra83<br>【適合ライトコントロール】リビングライコンNQ28771W （別売）<br>【適合ライトコントロール】リビングライコンNQ28771H （別売）<br>【適合ライトコントロール】LED埋込逆位相調光スイッチB（ロータリー式）WT57572W（別売）<br>【適合ライトコントロール】LED埋込逆位相調光スイッチC（ロータリー式）WTC57582W（別売）<br>【適合ライトコントロール】LED埋込逆位相調光スイッチC（ロータリー式）（3.2A）WTC57583W（別売）<br>【適合リニューアルプレート】LGK02000<br>【適合リニューアルプレート】LGK02001<br>【適合リニューアルプレート】LGK02004<br>【適合リニューアルプレート】LGK02005<br>集光タイプ（ビーム角24度）<br>150形電球1灯器具相当<br>55度までの傾斜天井に取付可能<br>位相制御式（2線式）<br>入力電流（100V時）：0.11 A<br>ランプは口金GX53-1、外径70mmまで取付可能<br>適合ライコン（逆位相タイプ）（別売）との組み合わせで100％～1％調光可能<br>配光については斜天井対応となっていません。<br>施工時、埋込高さは90mm必要となります。<br>直下近接限度10cm<br>","XAD5120L CC1","23800",
"天井埋込型　LED（電球色）　ダウンライト　浅型9H・高気密SB形・ビーム角48度・集光タイプ　LEDフラットランプ交換型・調光タイプ（ライコン別売）／埋込穴φ100　白熱電球150形1灯器具相当","LEDフラットランプφ70　クラス1000 1灯（口金GX53-1）　<br>色温度：2700 K　<br>光源寿命40000時間（光束維持率70％）<br>埋込穴径：φ100 mm　<br>埋込高：90 mm<br>器具光束：1050 lm　<br>電圧：100 V　<br>消費電力：9.9 W　<br>消費効率：106 lm/W<br>【鋼板枠】ホワイトつや消し<br>天井埋込型、埋込穴φ100、浅型9H・高気密SB形・ビーム角48度・集光タイプ<br>Ra83<br>【適合ライトコントロール】リビングライコンNQ28771W （別売）<br>【適合ライトコントロール】リビングライコンNQ28771H （別売）<br>【適合ライトコントロール】LED埋込逆位相調光スイッチB（ロータリー式）WT57572W（別売）<br>【適合ライトコントロール】LED埋込逆位相調光スイッチC（ロータリー式）WTC57582W（別売）<br>【適合ライトコントロール】LED埋込逆位相調光スイッチC（ロータリー式）（3.2A）WTC57583W（別売）<br>【適合リニューアルプレート】LGK02000<br>【適合リニューアルプレート】LGK02001<br>【適合リニューアルプレート】LGK02004<br>【適合リニューアルプレート】LGK02005<br>集光タイプ（ビーム角48度）<br>150形電球1灯器具相当<br>55度までの傾斜天井に取付可能<br>位相制御式（2線式）<br>入力電流（100V時）：0.11 A<br>ランプは口金GX53-1、外径70mmまで取付可能<br>適合ライコン（逆位相タイプ）（別売）との組み合わせで100％～1％調光可能<br>配光については斜天井対応となっていません。<br>施工時、埋込高さは90mm必要となります。<br>直下近接限度10cm<br>","XAD5160L CC1","23800",
"天井埋込型　LED（温白色）　ダウンライト　浅型9H・高気密SB形・拡散タイプ　LEDフラットランプ交換型・調光タイプ（ライコン別売）／埋込穴φ100　白熱電球150形1灯器具相当","LEDフラットランプφ70　クラス1000 1灯（口金GX53-1）　<br>色温度：3500 K　<br>光源寿命40000時間（光束維持率70％）<br>埋込穴径：φ100 mm　<br>埋込高：90 mm<br>器具光束：915 lm　<br>電圧：100 V　<br>消費電力：9.3 W　<br>消費効率：98.3 lm/W<br>【鋼板枠】ブラックつや消し<br>天井埋込型、埋込穴φ100、浅型9H・高気密SB形・拡散タイプ<br>Ra83<br>【適合ライトコントロール】リビングライコンNQ28771W （別売）<br>【適合ライトコントロール】リビングライコンNQ28771H （別売）<br>【適合ライトコントロール】LED埋込逆位相調光スイッチB（ロータリー式）WT57572W（別売）<br>【適合ライトコントロール】LED埋込逆位相調光スイッチC（ロータリー式）WTC57582W（別売）<br>【適合ライトコントロール】LED埋込逆位相調光スイッチC（ロータリー式）（3.2A）WTC57583W（別売）<br>【適合リニューアルプレート】LGK02000<br>【適合リニューアルプレート】LGK02001<br>【適合リニューアルプレート】LGK02004<br>【適合リニューアルプレート】LGK02005<br>150形電球1灯器具相当<br>55度までの傾斜天井に取付可能<br>位相制御式（2線式）<br>入力電流（100V時）：0.1 A<br>ランプは口金GX53-1、外径70mmまで取付可能<br>適合ライコン（逆位相タイプ）（別売）との組み合わせで100％～1％調光可能<br>配光については斜天井対応となっていません。<br>施工時、埋込高さは90mm必要となります。<br>直下近接限度10cm<br>","XAD5101V CC1","21800",
